Name,Team,G,Rec,Tgt,RecYds,Y/G,Avg,Lng,YAC,1stD,RecTD,KR,Yds,Avg,Long,KRTD,PR,Yds,Avg,Long,PRTD,Fum,FumL
Clyde Gates,NYJ,6,12,24,122,20.3,10.2,34,2.5,5,0,9,209,23.2,36,0,0,0,0,0,0,0,0
Josh Boyce,NWE,9,9,19,121,13.4,13.4,30,8.9,6,0,9,214,23.8,41,0,0,0,0,0,0,0,0
Brandon Stokley,BAL,6,13,21,115,19.2,8.8,18,4.7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Owusu,TAM,9,13,20,114,12.7,8.8,20,2.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Williams,SFO,9,12,27,113,12.6,9.4,16,4.7,5,0,7,134,19.1,35,0,12,61,5.1,22,0,0,0
Travis Benjamin,CLE,8,5,13,105,13.1,21,39,12.2,4,0,3,146,48.7,86,0,22,257,11.7,79,1,0,0
Brice Butler,OAK,10,9,17,103,10.3,11.4,29,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Ford,OAK,14,13,24,99,7.1,7.6,22,5.7,5,0,11,253,23,30,0,9,77,8.6,14,0,1,1
Kenny Britt,TEN,12,11,35,96,8,8.7,15,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Thompson,BAL,7,10,19,96,13.7,9.6,33,2.1,4,0,7,201,28.7,47,0,0,0,0,0,0,0,0
Mario Manningham,SFO,6,9,23,85,14.2,9.4,14,2.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Broyles,DET,6,8,14,85,14.2,10.6,22,4.5,4,0,0,0,0,0,0,1,4,4,4,0,0,0
Chris Hogan,BUF,16,10,17,83,5.2,8.3,16,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Lockette,SEA,8,5,7,82,10.3,16.4,33,3.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Harris,DAL,13,9,14,80,6.2,8.9,24,4.1,5,2,28,857,30.6,90,0,20,256,12.8,86,1,0,0
Stephen Burton,JAC,4,8,13,76,19,9.5,22,4.6,4,0,4,99,24.8,32,0,0,0,0,0,0,0,0
Eric Page,TAM,16,4,9,68,4.3,17,30,3.8,3,0,22,548,24.9,44,0,23,251,10.9,52,0,0,0
Nick Toon,NOR,8,4,12,68,8.5,17,35,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Maehl,PHI,16,4,9,67,4.2,16.8,37,8.8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Ross,DET,10,6,12,67,5.2,11.2,19,4,6,1,21,514,24.5,98,1,17,263,15.5,58,1,0,0
Myles White,GNB,7,9,12,66,9.4,7.3,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Wheaton,PIT,12,6,13,64,5.3,10.7,21,6.8,5,0,2,37,18.5,25,0,0,0,0,0,0,0,0
Seyi Ajirotutu,SDG,14,3,4,64,4.6,21.3,26,3.3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Austin Collie,NWE,7,6,11,63,9,10.5,19,1.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Moore,MIA,8,7,15,62,4.4,8.9,13,1.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Dane Sanzenbacher,CIN,10,6,8,61,6.1,10.2,23,5.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Cooper,CLE,5,9,14,60,12,6.7,16,2.9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Domenik Hixon,CAR,15,7,9,55,3.7,7.9,14,1.3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Williams,ARI,3,1,1,51,17,51,51,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Edwards,DET,4,5,11,46,11.5,9.2,11,5.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Murphy Jr.,NYG,14,6,13,37,2.6,6.2,8,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1
Michael Preston,TEN,7,5,7,37,5.3,7.4,10,0.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Lestar Jean,HOU,13,4,8,35,2.7,8.8,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinton Patton,SFO,6,3,5,34,5.7,11.3,29,2.7,1,0,1,7,7,7,0,0,0,0,0,0,0,0
Joe Webb,MIN,16,5,11,33,2.1,6.6,15,0.8,2,0,1,9,9,9,0,0,0,0,0,0,0,0
Juron Criner,OAK,1,3,8,32,32,10.7,20,4.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamaar Thomas,JAC,2,2,3,31,15.5,15.5,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Baldwin,SFO,7,3,9,28,4,9.3,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Smith,PHI,6,2,2,27,4.5,13.5,14,11,2,0,4,106,26.5,47,0,0,0,0,0,0,1,0
Chad Hall,KAN,9,2,7,20,2.2,10,11,8.5,2,0,0,0,0,0,0,1,9,9,9,0,0,0
Derek Moye,PIT,7,2,6,20,2.9,10,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Ebert,JAC,5,3,8,18,3.6,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percy Harvin,SEA,1,1,1,17,17,17,17,7,1,0,1,58,58,58,0,0,0,0,0,0,0,0
Kassim Osgood,SFO,14,1,1,17,1.2,17,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Williams,WAS,5,3,11,15,3,5,6,0.3,2,0,9,188,20.9,29,0,1,0,0,0,0,0,0
Tori Gurley,CLE,3,1,3,15,5,15,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Damaris Johnson,PHI,13,2,3,14,1.1,7,8,2.5,0,0,17,441,25.9,33,0,12,100,8.3,21,0,0,0
Marquess Wilson,CHI,10,2,3,13,1.3,6.5,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Easley,BUF,16,2,5,13,0.8,6.5,9,1.5,0,0,4,83,20.8,28,0,0,0,0,0,0,0,0
Brian Tyms,CLE,7,2,5,12,1.7,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Skye Dawson,TAM,7,2,7,12,1.7,6,9,3.5,0,0,3,67,22.3,25,0,1,17,17,17,0,0,0
Kevin Cone,ATL,16,1,1,12,0.8,12,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Armanti Edwards,CLE,2,1,5,10,1.7,10,10,7,0,0,0,0,0,0,0,4,28,7,12,0,0,0
Eric Weems,CHI,16,1,2,8,0.5,8,8,4,1,0,5,57,11.4,19,0,0,0,0,0,0,0,0
Ben Obomanu,NYJ,3,1,1,8,2.7,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Tate,CIN,16,1,2,6,0.4,6,6,0,0,0,35,914,26.1,71,0,36,336,9.3,43,0,0,0
Josh Cribbs,NYJ,6,2,2,6,1,3,5,1,0,0,20,490,24.5,42,0,8,96,12,21,0,0,0
David Reed,IND,7,1,3,2,0.3,2,2,2,0,0,24,590,24.6,39,0,0,0,0,0,0,0,0
Saalim Hakim,NYJ,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin McNutt,CAR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Robiskie,ATL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Williams,SEA,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Jenkins,OAK,6,0,1,0,0,0,0,0,0,0,10,221,22.1,29,0,6,49,8.2,14,0,0,0
Michael Campbell,NYJ,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
