Name,Team,G,Rush ,Yds ,Y/G ,Avg ,TD ,Rec ,Tgt ,Yds ,Y/G ,Avg ,Lng ,YAC ,1stD ,TD ,Fum ,FumL 
Darius Reynaud,TEN,7,1,0,0,0,0,1,2,4,0.6,4,4,6,0,0,0,0
Tony Fiammetta,CHI,16,0,0,0,N/A ,0,4,5,57,3.6,14.3,30,12,2,0,0,0
Patrick DiMarco,ATL,14,0,0,0,N/A ,0,8,10,49,3.5,6.1,12,5,1,0,0,0
Henry Hynoski,NYG,3,0,0,0,N/A ,0,1,2,5,1.7,5,5,11,0,0,0,0
Travaris Cadet,NOR,13,0,0,0,N/A ,0,2,2,5,0.4,2.5,3,4.5,1,1,0,0
Joe Banyard,MIN,3,0,0,0,N/A ,0,1,1,11,3.7,11,11,12,1,0,0,0
Collin Mooney,TEN,12,0,0,0,N/A ,0,6,6,32,2.7,5.3,22,6,1,0,0,0
Chris Rainey,IND,2,0,0,0,N/A ,0,0,1,0,0,N/A ,0,N/A ,0,0,0,0
Bradie Ewing,ATL,2,0,0,0,N/A ,0,2,2,29,14.5,14.5,15,13.5,2,0,0,0
Will Johnson,PIT,15,0,0,0,N/A ,0,8,11,41,2.7,5.1,9,5.3,2,1,0,0
Evan Rodriguez,BUF,7,0,0,0,N/A ,0,0,1,0,0,N/A ,0,N/A ,0,0,0,0
Orson Charles,CIN,13,0,0,0,N/A ,0,1,2,8,0.6,8,8,7,0,0,0,0
Kyle Juszczyk,BAL,16,0,0,0,N/A ,0,0,1,0,0,N/A ,0,N/A ,0,0,0,0
